"date","phenocam","doy","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","year","soil_sensor","sm5cm_daily_mean","sm30cm_daily_mean","sm5cm_daily_min","sm30cm_daily_min","sm5cm_daily_10th","sm30cm_daily_10th","sm5cm_daily_25th","sm30cm_daily_25th","sm5cm_3day90th","sm30cm_3day90th","sm5cm_3day10th","sm30cm_3day10th","sm5cm_3day25th","sm30cm_3day25th","stemp5_daily_mean","stemp30_daily_mean","airtemp_daily_mean","airtemp_daily_min","snowdepth_daily_mean","stemp5_3day90th","stemp30_3day90th","snowdepth_3day90th","air_3day90th"
"2018-06-15",15,166,0.355096241538688,0.406183319908636,0.238473339237874,324.532032831661,0.406183319908636,0.406183319908636,0.416769078981321,2018,"a",0.728590277777778,0.241638888888889,0.728,0.238,0.728,0.239,0.728,0.24,0.729,0.246,0.728,0.239,0.728,0.24,13.6183333333333,18.9646527777778,12.8359722222222,1,3434.86111111111,17.615,20.147,3442,14.86
"2018-08-05",19,217,0.3808253409099,0.416769052549433,0.201663716522139,305.250500543447,0.416769052549433,0.416769052549433,0.42488469297537,2018,"b",0.245972222222222,0.169923611111111,0.236,0.165,0.238,0.166,0.238,0.16775,0.253,0.194,0.2082,0.16,0.238,0.163,12.4221805555556,10.5451388888889,10.9642361111111,1,500,18.929,11.18,500,14.729
"2018-06-11",20,162,0.352675962451155,0.376858705642437,0.270678504901619,378.148779503732,0.376858705642437,0.376858705642437,0.381308347678595,2018,"b",0.331923611111111,0.271097222222222,0.323,0.266,0.325,0.267,0.33,0.268,0.348,0.285,0.317,0.257,0.32,0.261,9.040125,5.65003472222222,8.407875,1,3417.86805555556,13.24,5.831,3428,14.598
"2018-08-10",8,222,0.383412272878418,0.385261016837867,0.230629501291477,314.401887279742,0.385261016837867,0.385261016837867,0.387807309233798,2018,"b",0.154590277777778,0.143263888888889,0.14,0.136,0.1453,0.137,0.153,0.14275,0.181,0.153,0.133,0.136,0.137,0.138,9.39388194444444,7.977375,9.90618055555556,1,2480.11805555556,12.229,8.25,2505,14.267
"2018-09-02",16,245,0.394084556195067,0.358675500258849,0.247239943546083,339.267657544056,0.358675500258849,0.358675500258849,0.359539353170258,2018,"b",0.0995,0.0311458333333333,0.096,0.027,0.097,0.028,0.099,0.028,0.101,0.033,0.095,0.023,0.096,0.026,9.77020833333333,10.3980902777778,8.44998611111111,1,3269.86805555556,10.419,13.449,3292,10.678
"2018-11-16",13,320,0.264788084930079,0.335737399433588,0.399474515636333,410.673612780621,0.335737399433588,0.335737399433588,0.341514368552121,2018,"b",0.101486111111111,0.442763888888889,0.096,0.441,0.097,0.442,0.098,0.442,0.111,0.444,0.093,0.442,0.097,0.442,-0.679465277777778,0.499111111111111,-3.25964583333333,-4.686,2986.5,-0.664,0.514,2994,-2.095
"2018-09-01",20,244,0.407136451619129,0.36417855816837,0.227861466705991,442.490712669787,0.36417855816837,0.36417855816837,0.367147577248166,2018,"b",0.100888888888889,0.131368055555556,0.096,0.13,0.098,0.13,0.099,0.131,0.1159,0.137,0.092,0.128,0.095,0.129,10.1871111111111,9.21472222222222,8.48954861111111,1,886.541666666667,14.447,9.609,1340.4,12.459
"2018-09-16",20,259,0.402606537945323,0.352346915604554,0.245448240413159,494.386313335381,0.352346915604554,0.352346915604554,0.356481247240597,2018,"b",0.0747013888888889,0.104243055555556,0.07,0.103,0.071,0.103,0.072,0.104,0.086,0.108,0.065,0.101,0.069,0.102,12.7336805555556,9.56395833333333,12.4866666666667,1,1482.49305555556,18.234,10.01,1496,16.488
"2018-07-03",20,184,0.350993334899278,0.411822839624844,0.235597661171268,341.749788683073,0.411822839624844,0.411822839624844,0.41495233508207,2018,"b",0.211444444444444,0.218208333333333,0.204,0.216,0.205,0.217,0.2115,0.217,0.228,0.222,0.201,0.215,0.20275,0.217,10.8199791666667,7.88525694444444,12.4170833333333,1,3417.22222222222,14.24,8.22,3433,16.055
"2018-09-14",16,257,0.403353676457274,0.352709279214688,0.243717448259129,342.039147094745,0.352709279214688,0.352709279214688,0.353314771890842,2018,"b",0.0942916666666667,0.0374930555555556,0.092,0.033,0.094,0.033,0.094,0.034,0.096,0.045,0.092,0.03,0.093,0.033,10.1775,12.98875,11.8592361111111,1,3253.99305555556,10.669,17.792,3282,16.25
"2018-07-15",20,196,0.358654032103448,0.407554044550701,0.234808883781666,370.382217881064,0.407554044550701,0.407554044550701,0.410220143693319,2018,"b",0.112416666666667,0.196118055555556,0.11,0.196,0.11,0.196,0.111,0.196,0.122,0.198,0.111,0.195,0.114,0.196,10.7450694444444,9.02104166666667,10.3664236111111,1,3396.84027777778,14.147,9.25,3436,15.835
"2018-10-02",19,275,0.405220791031718,0.349556511690963,0.24509299365298,344.973636148772,0.349556511690963,0.349556511690963,0.351630408439871,2018,"b",0.05,0.0584375,0.048,0.057,0.049,0.058,0.049,0.058,0.059,0.06,0.048,0.058,0.049,0.058,8.28122916666667,8.95631944444444,5.81568055555556,1,500,12.807,9.67,500,7.9574
"2018-09-19",19,262,0.402836649817331,0.34771904965462,0.248753632369025,341.206527577835,0.34771904965462,0.34771904965462,0.350940353554094,2018,"b",0.0520694444444444,0.0630972222222222,0.049,0.062,0.049,0.062,0.05,0.063,0.059,0.065,0.05,0.063,0.052,0.06375,13.3108333333333,12.0140277777778,10.6352430555556,1,500,19.498,12.43,500,14.7
"2018-08-02",11,214,0.387605252029858,0.411323074903197,0.200747989466685,306.501039627289,0.411323074903197,0.411323074903197,0.415796936959716,2018,"b",0.0505416666666667,-0.0109513888888889,0.047,-0.012,0.049,-0.011,0.05,-0.011,0.0639,-0.009,0.044,-0.012,0.047,-0.012,13.85125,11.9054166666667,11.6924513888889,1,3746.15972222222,17.17,12.79,3792,14.365
"2018-11-12",20,316,0.299711995320145,0.332778644749999,0.367615608802803,656.075462930145,0.332778644749999,0.332778644749999,0.333115712694364,2018,"b",0.155666666666667,0.186534722222222,0.147,0.186,0.1493,0.186,0.152,0.186,0.181,0.188,0.14,0.185,0.146,0.186,-0.945152777777778,0.555076388888889,-18.4215277777778,-22.83,1836.26388888889,-0.904,0.586,3393,-6.0834
