"phenocam","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","date","doy","year"
17,0.378549607423706,0.364661318609925,0.257046736644003,369.560567959562,0.364661318609925,0.364661318609925,0.366150041639557,"2018-10-02",275,2018
15,0.363625588367653,0.434689380216895,0.201634386462411,291.949868481523,0.434689380216895,0.434689380216895,0.438730448737615,"2018-07-26",207,2018
13,0.420406712716178,0.380740583218135,0.199117796720041,342.374884088333,0.380740583218135,0.380740583218135,0.386591799169207,"2018-09-20",263,2018
12,0.432123919723848,0.350918779942306,0.217753059752923,340.496528992154,0.350918779942306,0.350918779942306,0.353141111232218,"2018-08-27",239,2018
11,0.361720113165888,0.439763860775546,0.198974207773441,320.010701355707,0.439763860775546,0.439763860775546,0.443712169030877,"2018-07-09",190,2018
13,0.374271858851631,0.444607017014769,0.181942322796061,304.137095607868,0.444607017014769,0.444607017014769,0.44708413202413,"2018-08-11",223,2018
17,0.325829939525608,0.442277855751582,0.23173036457787,302.075590023842,0.442277855751582,0.442277855751582,0.444668900156502,"2018-08-13",225,2018
19,0.41329986186722,0.349743508226621,0.236596076725741,339.314899765798,0.349743508226621,0.349743508226621,0.351185496394649,"2018-09-18",261,2018
21,0.333722805147134,0.417860662866118,0.248416531986747,278.887582633121,0.417860662866118,0.417860662866118,0.419203969086613,"2018-07-05",186,2018
17,0.323138166953379,0.346280324828855,0.330581508217765,391.208707358582,0.346280324828855,0.346280324828855,0.358840087805144,"2018-10-07",280,2018
17,0.30472368740377,0.441247951028808,0.254028361567421,292.608124717805,0.441247951028808,0.441247951028808,0.449250683212865,"2018-07-30",211,2018
11,0.450683701479535,0.35552437108459,0.193759105287303,347.00638076518,0.35552437108459,0.35552437108459,0.356211545352274,"2018-09-22",265,2018
9,0.371859702311509,0.400381039179767,0.229355926748055,312.054054054054,0.400381039179767,0.400381039179767,0.401169545924136,"2018-07-02",183,2018
8,0.367229479290026,0.412514287512722,0.219830563585377,308.007871594736,0.412514287512722,0.41275159980462,0.415742120683463,"2018-07-23",204,2018
13,0.432651142134916,0.394035936559687,0.172896863653857,318.018563892855,0.394035936559687,0.394035936559687,0.397775051664494,"2018-09-05",248,2018
12,0.427595386472758,0.328470010828745,0.243934602698497,348.094907752074,0.328470010828745,0.328470010828745,0.333562975096769,"2018-09-21",264,2018
16,0.401554310422356,0.350250460464074,0.24819522911357,354.662700905661,0.350250460464074,0.350250460464074,0.351055959582243,"2018-09-21",264,2018
20,0.270680687718685,0.324688366303147,0.404728178011616,399.582362578074,0.324688366303147,0.324688366303147,0.338759644670557,"2018-10-14",287,2018
